,year,month,temp
0,1880,12月,2.4
1,1881,12月,3.8
2,1882,12月,2.9
3,1883,12月,3.5
4,1884,12月,2.6
5,1885,12月,5.1
6,1886,12月,3.9
7,1887,12月,4.6
8,1888,12月,5.3
9,1889,12月,4.9
10,1890,12月,9.0
11,1891,12月,4.9
12,1892,12月,2.0
13,1893,12月,3.0
14,1894,12月,4.1
15,1895,12月,4.2
16,1896,12月,4.0
17,1897,12月,2.7
18,1898,12月,5.5
19,1899,12月,5.0
20,1900,12月,4.3
21,1901,12月,3.3
22,1902,12月,6.6
23,1903,12月,3.3
24,1904,12月,5.0
25,1905,12月,6.8
26,1906,12月,4.5
27,1907,12月,3.2
28,1908,12月,4.6
29,1909,12月,3.6
30,1910,12月,3.0
31,1911,12月,4.2
32,1912,12月,4.4
33,1913,12月,4.8
34,1914,12月,5.1
35,1915,12月,5.3
36,1916,12月,6.2
37,1917,12月,2.9
38,1918,12月,4.4
39,1919,12月,4.8
40,1920,12月,5.6
41,1921,12月,4.9
42,1922,12月,3.7
43,1923,12月,5.9
44,1924,12月,4.3
45,1925,12月,5.6
46,1926,12月,3.7
47,1927,12月,5.8
48,1928,12月,4.8
49,1929,12月,8.4
50,1930,12月,5.3
51,1931,12月,5.7
52,1932,12月,5.7
53,1933,12月,5.5
54,1934,12月,5.8
55,1935,12月,5.1
56,1936,12月,6.9
57,1937,12月,4.5
58,1938,12月,5.1
59,1939,12月,4.8
60,1940,12月,6.6
61,1941,12月,6.6
62,1942,12月,4.4
63,1943,12月,5.3
64,1944,12月,4.1
65,1945,12月,4.2
66,1946,12月,4.8
67,1947,12月,3.8
68,1948,12月,8.5
69,1949,12月,6.4
70,1950,12月,5.0
71,1951,12月,7.2
72,1952,12月,5.9
73,1953,12月,7.1
74,1954,12月,6.6
75,1955,12月,6.8
76,1956,12月,4.3
77,1957,12月,7.0
78,1958,12月,7.1
79,1959,12月,6.7
80,1960,12月,5.8
81,1961,12月,6.6
82,1962,12月,6.6
83,1963,12月,6.7
84,1964,12月,6.2
85,1965,12月,5.8
86,1966,12月,4.7
87,1967,12月,4.6
88,1968,12月,9.0
89,1969,12月,5.7
90,1970,12月,6.2
91,1971,12月,7.4
92,1972,12月,7.7
93,1973,12月,4.3
94,1974,12月,6.6
95,1975,12月,6.3
96,1976,12月,6.0
97,1977,12月,8.0
98,1978,12月,7.5
99,1979,12月,7.6
100,1980,12月,5.1
101,1981,12月,5.8
102,1982,12月,7.0
103,1983,12月,5.1
104,1984,12月,6.6
105,1985,12月,5.4
106,1986,12月,7.6
107,1987,12月,7.0
108,1988,12月,5.9
109,1989,12月,7.0
110,1990,12月,7.7
111,1991,12月,8.4
112,1992,12月,8.1
113,1993,12月,7.1
114,1994,12月,7.7
115,1995,12月,5.3
116,1996,12月,7.1
117,1997,12月,7.9
118,1998,12月,8.3
119,1999,12月,6.9
120,2000,12月,7.2
121,2001,12月,6.5
122,2002,12月,6.9
123,2003,12月,7.2
124,2004,12月,8.6
125,2005,12月,3.9
126,2006,12月,7.6
127,2007,12月,7.7
128,2008,12月,7.6
129,2009,12月,7.2
130,2010,12月,7.5
131,2011,12月,6.5
132,2012,12月,5.4
133,2013,12月,6.3
134,2014,12月,5.5
135,2015,12月,9.0
136,2016,12月,8.2
137,2017,12月,5.6
138,2018,12月,8.2
139,1880,1月,0.5
140,1881,1月,4.3
141,1882,1月,2.3
142,1883,1月,1.9
143,1884,1月,0.8
144,1885,1月,1.4
145,1886,1月,3.5
146,1887,1月,2.9
147,1888,1月,2.1
148,1889,1月,3.3
149,1890,1月,2.0
150,1891,1月,2.3
151,1892,1月,1.9
152,1893,1月,1.9
153,1894,1月,1.4
154,1895,1月,2.5
155,1896,1月,3.6
156,1897,1月,3.2
157,1898,1月,2.3
158,1899,1月,1.5
159,1900,1月,4.2
160,1901,1月,1.7
161,1902,1月,3.8
162,1903,1月,1.5
163,1904,1月,4.3
164,1905,1月,1.6
165,1906,1月,3.8
166,1907,1月,3.2
167,1908,1月,2.5
168,1909,1月,4.4
169,1910,1月,2.8
170,1911,1月,2.3
171,1912,1月,1.8
172,1913,1月,3.5
173,1914,1月,3.2
174,1915,1月,4.8
175,1916,1月,1.4
176,1917,1月,1.0
177,1918,1月,2.9
178,1919,1月,3.3
179,1920,1月,3.6
180,1921,1月,1.3
181,1922,1月,1.5
182,1923,1月,2.7
183,1924,1月,2.4
184,1925,1月,2.2
185,1926,1月,2.7
186,1927,1月,3.6
187,1928,1月,1.7
188,1929,1月,2.7
189,1930,1月,3.4
190,1931,1月,4.6
191,1932,1月,2.7
192,1933,1月,1.1
193,1934,1月,3.2
194,1935,1月,0.9
195,1936,1月,4.0
196,1937,1月,2.2
197,1938,1月,2.0
198,1939,1月,2.3
199,1940,1月,4.6
200,1941,1月,3.0
201,1942,1月,1.8
202,1943,1月,2.9
203,1944,1月,0.9
204,1945,1月,3.4
205,1946,1月,3.8
206,1947,1月,3.5
207,1948,1月,4.6
208,1949,1月,5.2
209,1950,1月,3.5
210,1951,1月,4.1
211,1952,1月,2.9
212,1953,1月,5.1
213,1954,1月,3.2
214,1955,1月,3.6
215,1956,1月,4.3
216,1957,1月,4.0
217,1958,1月,3.4
218,1959,1月,3.9
219,1960,1月,2.6
220,1961,1月,3.2
221,1962,1月,1.1
222,1963,1月,5.5
223,1964,1月,3.3
224,1965,1月,3.4
225,1966,1月,3.2
226,1967,1月,3.4
227,1968,1月,4.8
228,1969,1月,3.6
229,1970,1月,4.3
230,1971,1月,7.1
231,1972,1月,6.2
232,1973,1月,3.2
233,1974,1月,4.0
234,1975,1月,3.7
235,1976,1月,2.5
236,1977,1月,4.7
237,1978,1月,5.7
238,1979,1月,4.2
239,1980,1月,2.4
240,1981,1月,3.8
241,1982,1月,4.8
242,1983,1月,2.2
243,1984,1月,3.1
244,1985,1月,2.8
245,1986,1月,4.8
246,1987,1月,5.9
247,1988,1月,6.8
248,1989,1月,4.4
249,1990,1月,5.1
250,1991,1月,6.1
251,1992,1月,5.8
252,1993,1月,4.8
253,1994,1月,4.6
254,1995,1月,4.7
255,1996,1月,4.6
256,1997,1月,4.9
257,1998,1月,5.1
258,1999,1月,6.0
259,2000,1月,3.9
260,2001,1月,5.7
261,2002,1月,3.9
262,2003,1月,4.3
263,2004,1月,4.5
264,2005,1月,4.0
265,2006,1月,5.8
266,2007,1月,4.6
267,2008,1月,5.2
268,2009,1月,4.7
269,2010,1月,2.8
270,2011,1月,4.1
271,2012,1月,3.9
272,2013,1月,4.4
273,2014,1月,4.9
274,2015,1月,5.7
275,2016,1月,4.8
276,2017,1月,3.9
277,2018,1月,5.1
